task_id,client,title,hours,budget,window,months,has_unit,flag
31c842bd-c98e-4b10-a537-abdd770d79c5,Ception,Explanatory Video design (82h+2h) - 92h,92,84,2022-04 → 2022-11,8,yes,budget-sum
ad6c7aa3-f0eb-4b2a-a6a3-b59c206da21a,Ception,Manuals word docs (6-8h) - 8h,8,8,2022-07 → 2022-11,5,yes,budget-range
69db1561-51a9-493c-a983-4623b9d865fe,Blazepod,App Design (230h from client) - 83.25h (15/10/19),83.25,230,2019-08 → 2020-06,11,yes,
f19e2169-7f07-4eaf-9f6c-79d427ca1038,Blazepod,meetings - 4.5h,4.5,,2019-08 → 2020-08,13,yes,
f3244be2-7284-457c-a8c7-5cf54826e667,Blazepod,Research (25) - 27.5h,27.5,25,2019-10 → 2020-08,11,yes,
cab4059b-3c6c-48bb-a145-025329bfb69e,Blazepod,UX Concept (25) - 19h,19,25,2019-10 → 2020-08,11,yes,
1674e6bd-6cd9-4b20-bce1-85a70a0fe93c,Blazepod,UX (44) - 90.75h,90.75,44,2019-10 → 2020-08,11,yes,
738a1e38-a53b-44df-935a-9e233df94aae,Blazepod,App screens (90) - 74.25h ,74.25,90,2019-10 → 2020-08,11,yes,
39e3fd09-bdc7-4f3a-ac19-a5449727e2e5,Blazepod,Dev (16) - 2,2,16,2019-10 → 2020-08,11,no,budget-vs-actual-far
575071cf-37a1-4e54-a2e2-d7b57bde71b6,Blazepod,Get to know flow - 12.75h,12.75,,2020-09 → 2020-10,2,yes,
4f110589-3f45-4540-8a50-b40fae2c6f00,Blazepod,General Requests - 16,16,,2020-09 → 2020-10,2,no,
01fbdc89-25d3-41a9-8352-a801ba27c746,Blazepod,User Testing - 18h,18,,2019-11 → 2020-08,10,yes,
f5f52e15-7c3b-488d-b07b-e3f35804ecda,Blazepod,Visual research + competitors (3) - 1.75h,1.75,3,2019-11 → 2020-08,10,yes,
abded8cc-e7ea-4bd8-b7df-b4bc9d52c98b,Blazepod,Define visual approaches (5) - 6.75h,6.75,5,2019-11 → 2020-08,10,yes,
ffb3f1bf-784f-4a26-8e5d-57bbff428977,Blazepod,Visual concepts (12) - 18.25h,18.25,12,2019-11 → 2020-08,10,yes,
ade87552-79d6-4872-9a9a-03b37a120712,Blazepod,Refine chosen concept (10) - 17.5h,17.5,10,2019-11 → 2020-08,10,yes,
9ed75ec3-ea89-4865-8add-3c30b4967e04,Blazepod,"Zeplin, Export, Dev - 14",14,,2020-02 → 2020-08,7,no,
366fe346-757d-46b5-a75b-066a487b1636,Blazepod,Icons -3.75h,3.75,,2020-01 → 2020-08,8,yes,
